type,datum,NIS,kieskring,mandaten,"ingeschreven
kiezers",stembiljetten,blanco&ongeldig,lijstnr,lijst,"aantal
kandidaten",lijststemmen cat.1,lijststemmen cat.2,stemcijfer,verkiesbaarheidscijfer,verkregen zetels
PR,14/10/2018,41002,Aalst-Oudenaarde,10,325130,298107,21128,1,sp.a,10,13089,15584,28673,14337,1
PR,14/10/2018,41002,Aalst-Oudenaarde,10,325130,298107,21128,2,N-VA,10,40037,19246,59283,39522,2
PR,14/10/2018,41002,Aalst-Oudenaarde,10,325130,298107,21128,3,CD&V,10,19385,27431,46816,31211,2
PR,14/10/2018,41002,Aalst-Oudenaarde,10,325130,298107,21128,4,Groen,10,19389,12078,31467,15734,1
PR,14/10/2018,41002,Aalst-Oudenaarde,10,325130,298107,21128,5,VLAAMS BELANG,10,29190,16466,45656,30438,2
PR,14/10/2018,41002,Aalst-Oudenaarde,10,325130,298107,21128,6,Open Vld,10,19571,39202,58773,39182,2
PR,14/10/2018,41002,Aalst-Oudenaarde,10,325130,298107,21128,7,PVDA,10,3862,2449,6311,,0
PR,14/10/2018,11002,Antwerpen,20,713786,647238,30359,1,sp.a,20,17906,33103,51009,34006,2
PR,14/10/2018,11002,Antwerpen,20,713786,647238,30359,2,N-VA,20,103328,120524,223852,198980,8
PR,14/10/2018,11002,Antwerpen,20,713786,647238,30359,3,CD&V,20,25208,39773,64981,43321,2
PR,14/10/2018,11002,Antwerpen,20,713786,647238,30359,4,Groen,20,51030,46976,98006,73505,3
PR,14/10/2018,11002,Antwerpen,20,713786,647238,30359,5,VLAAMS BELANG,20,24884,55699,80583,60438,3
PR,14/10/2018,11002,Antwerpen,20,713786,647238,30359,6,Open Vld,20,19056,29380,48436,24218,1
PR,14/10/2018,11002,Antwerpen,20,713786,647238,30359,7,PVDA,20,12389,21566,33955,16978,1
PR,14/10/2018,11002,Antwerpen,20,713786,647238,30359,8,Be.One,1,447,1848,2295,,0
PR,14/10/2018,11002,Antwerpen,20,713786,647238,30359,9,USE,1,174,432,606,,0
PR,14/10/2018,11002,Antwerpen,20,713786,647238,30359,10,Piratenpartij,13,2534,4035,6569,,0
PR,14/10/2018,11002,Antwerpen,20,713786,647238,30359,11,D-SA,20,498,6089,6587,,0
PR,14/10/2018,31005,Brugge,9,223730,204868,12660,1,sp.a,9,10733,12913,23646,11823,1
PR,14/10/2018,31005,Brugge,9,223730,204868,12660,2,N-VA,9,20410,17537,37947,25298,2
PR,14/10/2018,31005,Brugge,9,223730,204868,12660,3,CD&V,9,16789,35463,52252,39189,3
PR,14/10/2018,31005,Brugge,9,223730,204868,12660,4,Groen,9,17318,8571,25889,12945,1
PR,14/10/2018,31005,Brugge,9,223730,204868,12660,5,VLAAMS BELANG,9,14688,9113,23801,11901,1
PR,14/10/2018,31005,Brugge,9,223730,204868,12660,6,Open Vld,9,9052,15739,24791,12396,1
PR,14/10/2018,31005,Brugge,9,223730,204868,12660,7,PVDA,9,2378,1504,3882,,0
PR,14/10/2018,46021,Dendermonde-Sint-Niklaas,11,341168,318067,20552,1,sp.a,11,10746,12705,23451,11726,1
PR,14/10/2018,46021,Dendermonde-Sint-Niklaas,11,341168,318067,20552,2,N-VA,11,49036,26090,75126,56345,3
PR,14/10/2018,46021,Dendermonde-Sint-Niklaas,11,341168,318067,20552,3,CD&V,11,25496,32361,57857,38572,2
PR,14/10/2018,46021,Dendermonde-Sint-Niklaas,11,341168,318067,20552,4,Groen,11,23162,14400,37562,18781,1
PR,14/10/2018,46021,Dendermonde-Sint-Niklaas,11,341168,318067,20552,5,VLAAMS BELANG,11,27627,22374,50001,33334,2
PR,14/10/2018,46021,Dendermonde-Sint-Niklaas,11,341168,318067,20552,6,Open Vld,11,18247,25770,44017,29345,2
PR,14/10/2018,46021,Dendermonde-Sint-Niklaas,11,341168,318067,20552,7,PVDA,11,3766,3461,7227,,0
PR,14/10/2018,46021,Dendermonde-Sint-Niklaas,11,341168,318067,20552,8,VMC,11,156,760,916,,0
PR,14/10/2018,46021,Dendermonde-Sint-Niklaas,11,341168,318067,20552,10,B.U.B.,1,620,738,1358,,0
PR,14/10/2018,44021,Gent,15,446718,445367,27961,1,sp.a,15,21844,21783,43627,21814,1
