type,datum,NIS,kieskring,mandaten,"ingeschreven
kiezers",stembiljetten,blanco&ongeldig,lijstnr,lijst,"aantal
kandidaten",lijststemmen cat.1,lijststemmen cat.2,stemcijfer,verkiesbaarheidscijfer,verkregen zetels
CG,14/10/2018,41002,Aalst,43,64065,58148,1797,1,sp.a,43,1006,3256,4262,3197,3
CG,14/10/2018,41002,Aalst,43,64065,58148,1797,2,N-VA,43,3557,15131,18688,17589,16
CG,14/10/2018,41002,Aalst,43,64065,58148,1797,3,CD&V,43,910,6642,7552,6474,6
CG,14/10/2018,41002,Aalst,43,64065,58148,1797,4,Groen,43,1618,3660,5278,4223,4
CG,14/10/2018,41002,Aalst,43,64065,58148,1797,5,VLAAMS BELANG,43,3553,6210,9763,8679,8
CG,14/10/2018,41002,Aalst,43,64065,58148,1797,6,Open Vld,43,904,4977,5881,4705,4
CG,14/10/2018,41002,Aalst,43,64065,58148,1797,7,lijstA,43,405,3501,3906,2604,2
CG,14/10/2018,41002,Aalst,43,64065,58148,1797,8,PVDA,15,438,583,1021,,0
CG,14/10/2018,44084,Aalter,29,22864,21368,797,1,sp.a & meer,12,273,484,757,,0
CG,14/10/2018,44084,Aalter,29,22864,21368,797,3,CD&V/N-VA,29,1269,10543,11812,11250,20
CG,14/10/2018,44084,Aalter,29,22864,21368,797,4,Groen,29,1173,3202,4375,3750,6
CG,14/10/2018,44084,Aalter,29,22864,21368,797,5,VLAAMS BELANG,11,785,889,1674,837,1
CG,14/10/2018,44084,Aalter,29,22864,21368,797,6,Open Vld Plus,29,579,1374,1953,1302,2
CG,14/10/2018,24001,Aarschot,29,24157,22385,858,1,sp.a,29,460,2434,2894,2316,4
CG,14/10/2018,24001,Aarschot,29,24157,22385,858,2,N-VA,29,1118,1218,2336,1752,3
CG,14/10/2018,24001,Aarschot,29,24157,22385,858,3,CD&V,29,516,4458,4974,4353,7
CG,14/10/2018,24001,Aarschot,29,24157,22385,858,4,Groen,29,939,1607,2546,1910,3
CG,14/10/2018,24001,Aarschot,29,24157,22385,858,5,VLAAMS BELANG,7,1038,850,1888,1259,2
CG,14/10/2018,24001,Aarschot,29,24157,22385,858,6,Open Vld,29,851,5547,6398,5817,10
CG,14/10/2018,24001,Aarschot,29,24157,22385,858,7,ANDERS,14,205,286,491,,0
CG,14/10/2018,11001,Aartselaar,23,11250,10506,235,1,sp.a,23,160,312,472,,0
CG,14/10/2018,11001,Aartselaar,23,11250,10506,235,2,N-VA,23,1033,3670,4703,4368,13
CG,14/10/2018,11001,Aartselaar,23,11250,10506,235,3,CD&V-NAP,23,231,1205,1436,1077,3
CG,14/10/2018,11001,Aartselaar,23,11250,10506,235,4,Groen,23,305,654,959,640,2
CG,14/10/2018,11001,Aartselaar,23,11250,10506,235,5,VLAAMS BELANG,9,345,462,807,404,1
CG,14/10/2018,11001,Aartselaar,23,11250,10506,235,6,Open Vld,23,464,1430,1894,1516,4
CG,14/10/2018,23105,Affligem,23,9982,9525,343,2,N-VA,23,490,1821,2311,1981,6
CG,14/10/2018,23105,Affligem,23,9982,9525,343,4,Groen,16,286,447,733,367,1
CG,14/10/2018,23105,Affligem,23,9982,9525,343,7,OPEN2040,23,155,2215,2370,2032,6
CG,14/10/2018,23105,Affligem,23,9982,9525,343,8,LIJST BURGEMEESTER,23,333,3435,3768,3426,10
CG,14/10/2018,73001,Alken,21,9289,8908,394,2,N-VA,21,663,3085,3748,3436,11
CG,14/10/2018,73001,Alken,21,9289,8908,394,3,CD&V,21,190,555,745,373,1
CG,14/10/2018,73001,Alken,21,9289,8908,394,4,Groen,21,396,978,1374,1031,3
CG,14/10/2018,73001,Alken,21,9289,8908,394,6,Open Vld,21,258,1819,2077,1781,6
CG,14/10/2018,73001,Alken,21,9289,8908,394,7,HELEMAAL ALKEN,21,113,457,570,,0
CG,14/10/2018,38002,Alveringem,17,3867,3743,208,7,GEMEENTEBELANGENCD&V,17,188,1922,2110,1919,10
CG,14/10/2018,38002,Alveringem,17,3867,3743,208,8,PRO & N-VA,17,133,1292,1425,1247,7
CG,14/10/2018,11002,Antwerpen,55,325929,290163,7731,1,sp.a,55,6689,25638,32327,27709,6
CG,14/10/2018,11002,Antwerpen,55,325929,290163,7731,2,N-VA,55,17038,82619,99657,95505,23
CG,14/10/2018,11002,Antwerpen,55,325929,290163,7731,3,CD&V,55,3433,15718,19151,14364,3
